p_peds,n_comp,p_waste,c_PI,bl_hiv,bl_sep,bl_hcv,bl_hbv,bl_syp,bl_mal,bl_ftr,p_clin_hiv,p_clin_sep,p_clin_hcv,p_clin_hbv,p_clin_syp,p_clin_mal,p_clin_ftr,rred_hiv,rred_sep,rred_hcv,rred_hbv,rred_syp,rred_mal,rred_ftr
0.181392817175575,143147.704182445,0.0679274803829794,40.404026537964,0.00122158543487086,0.148157653932431,0.00722904982292881,0.0131575021912277,0.000529187131771476,0.251201522688192,0.0339152338536188,0.822905584568097,0.2694825017295,1,0.47559532174129,0.680001098283144,0.156829970368081,1,7.44238354474188,21.1353581219576,5.81981642365937,10.2193418592625,21.2552800118684,6.94772189971224,1.81375789415098
0.192043636949981,155260.674387386,0.0625499917460988,43.9107255181231,0.000677153522310177,0.137866280714718,0.00482740522622969,0.0140896881321562,0.000566322046219485,0.235285698263382,0.0334688464104148,0.788950283573801,0.383341157570736,1,0.40312838208048,0.323210950404002,0.252193317215564,1,11.3526854704092,22.3106096383649,9.30214920465591,10.1615934307899,22.693607765178,5.00337365407883,1.50275853414689
0.187861628141725,155605.788639519,0.0177712981761863,45.3997414831534,0.000857150152247137,0.170381815088783,0.00380729755733081,0.00743520587796551,0.000802872290516002,0.230967506879746,0.038386089018859,0.859742912565988,0.483140852354562,1,0.443433571612253,0.529522695765618,0.14022326331012,1,10.4788123815022,25.6418615425634,8.15836117720439,14.5942076122768,18.754628052916,7.74537844663168,1.61779527817946
0.178854387282443,146673.880634776,0.0516101150449005,43.2556988282668,0.000620638677813362,0.181019629536554,0.0067312370631796,0.00845149913696158,0.000641563783152992,0.251952657837414,0.0346127324640222,0.973620224643842,0.467039459709899,1,0.428204964926809,0.781915315582821,0.219111062387371,1,11.9842238468291,35.8864688119151,9.79787653005017,6.84853403657763,23.3312517793038,5.03183575087467,1.87159285604708
0.183817626411462,155733.327127352,0.0809611951452625,47.6338818622681,0.00102300487158647,0.140299135582054,0.00668452142042408,0.0106707751538273,0.00045489866248267,0.255941057410519,0.0361221973049308,0.953026915852058,0.229865258838583,1,0.410065744403525,0.440498859352626,0.207171704703704,1,10.3136862094353,18.496076803912,6.70540866288409,6.32525410995066,17.1785637876655,5.72716538761164,1.30729784006031
0.222195999015683,173049.866119189,0.0899442986320559,43.3221676436977,0.00162305124410538,0.154075788989633,0.00742866456646044,0.00896960647045612,0.000460254890808771,0.226446141283895,0.0322462592219429,0.978097890062296,0.646756590090065,1,0.401703476908939,0.461242353070393,0.180930670428204,1,8.32357546655769,26.2083392250329,10.9078388652267,12.9183828227737,25.9280949072232,4.53580033733347,1.40581649237286
0.218291610082473,173276.667950002,0.0900377974731311,48.2832195135622,0.000986804020332722,0.128687180287972,0.00532170829009632,0.0103248425021374,0.000648313905818678,0.224146657680799,0.0422757832377793,0.778132624826438,0.563044608725671,1,0.419805264782917,0.570192942725577,0.187589809830243,1,9.86310743164407,29.3420519757418,5.30043498706646,10.8826501433615,31.0470873294797,3.87025030678721,1.37090125183273
0.189968421515442,156214.270537824,0.0377171359726778,43.0059975169471,0.000772293197536205,0.149906786315756,0.00260440849380816,0.00590344071724532,0.000557055814257289,0.27884321243053,0.0417910171570305,0.978542785175151,0.607295380450369,1,0.430628437118387,0.227471585088941,0.296484201259738,1,7.55985318701279,14.902600877456,7.15483598875633,13.7629701506063,23.2183113250604,7.95911401560735,1.58211139946377
0.18232400666812,159672.551608582,0.127864766529829,45.4413578707934,0.00141783351412297,0.170466696816115,0.00520183751605096,0.0136918041653004,0.000760257153191738,0.257248240324758,0.0312654627795791,0.985098765751803,0.370350515160682,1,0.47936219860746,0.57579966160267,0.19537890108775,1,8.34829768792889,22.0899845400875,15.47040908613,11.1762485037134,16.1594987275584,1.07979205081686,1.48892938869565
0.188579495889673,138253.587716123,0.120672357714434,49.7747447104088,0.000595957667452161,0.133358351564023,0.00573236148174982,0.00640059302323955,0.000611411321726913,0.220544491600749,0.0352271743366474,0.863351669153116,0.410536560168594,1,0.462868097083322,0.494547569713693,0.170781264468327,1,7.68833813487944,14.4838707358889,13.3642367910178,5.65909741430233,20.5734085363602,8.88555312889579,1.42491646312492
